"Species","Temperament","Hypoallergenic"
"Soft Coated Wheaten Terrier","Faithful","Yes"
"Soft Coated Wheaten Terrier","Energetic","Yes"
"Soft Coated Wheaten Terrier","Intelligent","Yes"
"Bloodhound","Stubborn","No"
"Bloodhound","Affectionate","No"
"Bloodhound","Gentle","No"
"Bloodhound","Even Tempered","No"
"Bullmastiff","Courageous","No"
"Bullmastiff","Docile","No"
"Bullmastiff","Loyal","No"
"Bullmastiff","Powerful","No"
"English Cocker Spaniel","Playful","No"
"English Cocker Spaniel","Faithful","No"
"English Cocker Spaniel","Friendly","No"
"English Cocker Spaniel","Quiet","No"
"Papillon","Friendly","No"
"Papillon","Energetic","No"
"Papillon","Happy","No"
"Papillon","Intelligent","No"
"Portuguese Water Dog","Brave","Yes"
"Portuguese Water Dog","Quarrelsome","Yes"
"Portuguese Water Dog","Docile","Yes"
"Portuguese Water Dog","Impetuous","Yes"
"Airedale Terrier","Intelligent","Yes"
"Airedale Terrier","Outgoing","Yes"
"Airedale Terrier","Courageous","Yes"
"Airedale Terrier","Confident","Yes"
"Australian Cattle Dog","Intelligent","No"
"Australian Cattle Dog","Loyal","No"
"Australian Cattle Dog","Energetic","No"
"Australian Cattle Dog","Protective","No"
"Samoyed","Lively","Yes"
"Samoyed","Sociable","Yes"
"Samoyed","Friendly","Yes"
"Samoyed","Playful","Yes"
"Scottish Terrier","Quick","Yes"
"Scottish Terrier","Independent","Yes"
"Scottish Terrier","Self-assured","Yes"
"Scottish Terrier","Playful","Yes"
"Alaskan Malamute","Dignified","No"
"Alaskan Malamute","Playful","No"
"Alaskan Malamute","Friendly","No"
"Alaskan Malamute","Devoted","No"
"Bull Terrier","Sweet-Tempered","No"
"Bull Terrier","Keen","No"
"Bull Terrier","Protective","No"
"Bull Terrier","Trainable","No"
"Whippet","Gentle","No"
"Whippet","Affectionate","No"
"Whippet","Intelligent","No"
"Whippet","Lively","No"
"German Wirehaired Pointer","Willful","No"
"German Wirehaired Pointer","Intelligent","No"
"German Wirehaired Pointer","Affectionate","No"
"German Wirehaired Pointer","Active","No"
"Dalmatian","Intelligent","No"
"Dalmatian","Outgoing","No"
"Dalmatian","Friendly","No"
"Dalmatian","Energetic","No"
"Shar-Pei","Independent","No"
"Shar-Pei","Reserved","No"
"Shar-Pei","Suspicious","No"
"Shar-Pei","Devoted","No"
"Wirehaired Pointing Griffon","Loyal","Yes"
"Wirehaired Pointing Griffon","Trainable","Yes"
"Wirehaired Pointing Griffon","Gentle","Yes"
"Wirehaired Pointing Griffon","Vigilant","Yes"
"Great Pyrenees","Patient","No"
"Great Pyrenees","Affectionate","No"
"Great Pyrenees","Confident","No"
"Great Pyrenees","Strong Willed","No"
"Dogue de Bordeaux","Devoted","No"
"Dogue de Bordeaux","Courageous","No"
"Dogue de Bordeaux","Companionable","No"
"Dogue de Bordeaux","Vigilant","No"
"Cardigan Welsh Corgi","Intelligent","No"
"Cardigan Welsh Corgi","Alert","No"
"Cardigan Welsh Corgi","Devoted","No"
"Cardigan Welsh Corgi","Companionable","No"
"Cairn Terrier","Intelligent","Yes"
"Cairn Terrier","Fearless","Yes"
"Cairn Terrier","Hardy","Yes"
"Cairn Terrier","Assertive","Yes"
"Old English Sheepdog","Bubbly","No"
"Old English Sheepdog","Intelligent","No"
"Old English Sheepdog","Adaptable","No"
"Old English Sheepdog","Loving","No"
"Miniature Pinscher","Playful","No"
"Miniature Pinscher","Outgoing","No"
"Miniature Pinscher","Energetic","No"
"Miniature Pinscher","Responsive","No"
"Irish Setter","Intelligent","No"
"Irish Setter","Lively","No"
"Irish Setter","Playful","No"
"Irish Setter","Companionable","No"
"Irish Wolfhound","Dignified","No"
"Irish Wolfhound","Generous","No"
"Irish Wolfhound","Loyal","No"
"Irish Wolfhound","Patient","No"
"Italian Greyhound","Intelligent","Yes"
"Italian Greyhound","Agile","Yes"
"Italian Greyhound","Athletic","Yes"
"Italian Greyhound","Companionable","Yes"
"Greater Swiss Mountain Dog","Protective","No"
"Greater Swiss Mountain Dog","Self-Confident","No"
"Greater Swiss Mountain Dog","Devoted","No"
"Greater Swiss Mountain Dog","Good-natured","No"
"Chow Chow","Aloof","No"
"Chow Chow","Independent","No"
"Chow Chow","Loyal","No"
"Chow Chow","Quiet","No"
"Lhasa Apso","Energetic","No"
"Lhasa Apso","Playful","No"
"Lhasa Apso","Intelligent","No"
"Lhasa Apso","Friendly","No"
"Jack Russell Terrier","Vocal","No"
"Jack Russell Terrier","Stubborn","No"
"Jack Russell Terrier","Athletic","No"
"Jack Russell Terrier","Energetic","No"
"Chinese Crested","Happy","Yes"
"Chinese Crested","Playful","Yes"
"Chinese Crested","Affectionate","Yes"
"Chinese Crested","Sweet-Tempered","Yes"
"Giant Schnauzer","Kind","Yes"
"Giant Schnauzer","Strong Willed","Yes"
"Giant Schnauzer","Powerful","Yes"
"Giant Schnauzer","Intelligent","Yes"
"Coton De Tulear","Playful","Yes"
"Coton De Tulear","Affectionate","Yes"
"Coton De Tulear","Lively","Yes"
"Coton De Tulear","Trainable","Yes"
"Staffordshire Bull Terrier","Reliable","No"
"Staffordshire Bull Terrier","Courageous","No"
"Staffordshire Bull Terrier","Affectionate","No"
"Staffordshire Bull Terrier","Intelligent","No"
"American Staffordshire Terrier","Friendly","No"
"American Staffordshire Terrier","Devoted","No"
"American Staffordshire Terrier","Courageous","No"
"American Staffordshire Terrier","Loyal","No"
"Basenji","Curious","No"
"Basenji","Affectionate","No"
"Basenji","Intelligent","No"
"Basenji","Alert","No"
"Bouvier des Flandres","Intelligent","Yes"
"Bouvier des Flandres","Loyal","Yes"
"Bouvier des Flandres","Protective","Yes"
"Bouvier des Flandres","Familial","Yes"
"Anatolian Shepherd Dog","Independent","No"
"Anatolian Shepherd Dog","Steady","No"
"Anatolian Shepherd Dog","Confident","No"
"Anatolian Shepherd Dog","Proud","No"
"Keeshond","Intelligent","No"
"Keeshond","Quick","No"
"Keeshond","Agile","No"
"Keeshond","Sturdy","No"
"Pekingese","Stubborn","No"
"Pekingese","Opinionated","No"
"Pekingese","Aggressive","No"
"Pekingese","Good-natured","No"
"Nova Scotia Duck Tolling Retriever","Outgoing","No"
"Nova Scotia Duck Tolling Retriever","Loving","No"
"Nova Scotia Duck Tolling Retriever","Alert","No"
"Nova Scotia Duck Tolling Retriever","Patient","No"
"Standard Schnauzer","Lively","Yes"
"Standard Schnauzer","Trainable","Yes"
"Standard Schnauzer","Intelligent","Yes"
"Standard Schnauzer","Playful","Yes"
"Norwegian Elkhound","Strong Willed","No"
"Norwegian Elkhound","Hardy","No"
"Norwegian Elkhound","Intelligent","No"
"Norwegian Elkhound","Playful","No"
"Border Terrier","Intelligent","Yes"
"Border Terrier","Obedient","Yes"
"Border Terrier","Even Tempered","Yes"
"Border Terrier","Fearless","Yes"
"Afghan Hound","Clownish","Yes"
"Afghan Hound","Happy","Yes"
"Afghan Hound","Dignified","Yes"
"Afghan Hound","Independent","Yes"
"Brussels Griffon","Companionable","Yes"
"Brussels Griffon","Sensitive","Yes"
"Brussels Griffon","Watchful","Yes"
"Brussels Griffon","Inquisitive","Yes"
"English Setter","Intelligent","No"
"English Setter","Energetic","No"
"English Setter","Mischievous","No"
"English Setter","Strong Willed","No"
"Flat-Coated Retriever","Optimistic","No"
"Flat-Coated Retriever","Outgoing","No"
"Flat-Coated Retriever","Devoted","No"
"Flat-Coated Retriever","Confident","No"
"Rat Terrier","Loving","No"
"Rat Terrier","Alert","No"
"Rat Terrier","Lively","No"
"Rat Terrier","Inquisitive","No"
"Boykin Spaniel","Friendly","No"
"Boykin Spaniel","Energetic","No"
"Boykin Spaniel","Companionable","No"
"Boykin Spaniel","Trainable","No"
"Wire Fox Terrier","Quick","Yes"
"Wire Fox Terrier","Keen","Yes"
"Wire Fox Terrier","Friendly","Yes"
"Wire Fox Terrier","Fearless","Yes"
"Leonberger","Loyal","No"
"Leonberger","Companionable","No"
"Leonberger","Fearless","No"
"Leonberger","Obedient","No"
